Wed Feb  5 16:03:07 2025    profile_output.prof

         81890 function calls (79883 primitive calls) in 0.157 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/function_base.py:1(<module>)
      587    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1616(_value_and_type_iter)
      336    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_exceptions.py:1(<module>)
      460    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/_inspect.py:26(isfunction)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      460    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/_inspect.py:41(iscode)
       12    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:243(_optimize_charset)
      734    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        8    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:511(_compile_info)
      362    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      493    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1270(__eq__)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/numeric.py:2706(extend_all)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/records.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       81    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:979(_is_unpacked_typevartuple)
       44    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:995(_typevar_subst)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      269    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/_endian.py:1(<module>)
      441    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/exceptions.py:1(<module>)
      139    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      328    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1621(__eq__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/mixins.py:1(<module>)
